county ,population
aitkin,15834
anoka,350253
becker,34011
beltrami,46403
benton,40129
big stone,4996
blue earth,66795
brown,25163
carlton,35633
carver,101949
cass,29268
chippewa,11953
chisago,55315
clay,63446
clearwater,8821
cook,5376
cottonwood,11299
crow wing,64217
dakota,421453
dodge,20669
douglas,37513
faribault,13801
fillmore,20949
freeborn,30463
goodhue,46246
grant,5935
hennepin,1245837
houston,18648
hubbard,21019
isanti,39430
itasca,45141
jackson,9954
kanabec,16089
kandiyohi,42841
kittson,4311
koochiching,12515
lac qui parle,6719
lake,10560
lake of the woods,3771
le sueur,28242
lincoln,5677
lyon,25758
mahnomen,5501
marshall,9372
martin,19852
mcleod,35832
meeker,23105
mille lacs,25865
morrison,33064
mower,39807
murray,8296
nicollet,33954
nobles,21734
norman,6520
olmsted,154809
otter tail,58195
pennington,14183
pine,29223
pipestone,9191
polk,31521
pope,11048
ramsey,544442
red lake,4015
redwood,15261
renville,14652
rice,66185
rock,9402
roseau,15361
scott,145275
sherburne,94463
sibley,14892
st louis,199759
stearns,158452
steele,36683
stevens,9789
swift,9359
todd,24494
traverse,3311
wabasha,21537
wadena,13654
waseca,18740
washington,255938
watonwan,10972
wilkin,6291
winona,50725
wright,134438
yellow medicine,9814
